Thu Jul  8 14:32:16 2021    main.prof

         2744816 function calls (2355774 primitive calls) in 1.114 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      112    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      160    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       14    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
     4148    0.017    0.000    0.019    0.000 MCTSv2.py:102(checkDeleteGeese)
     4148    0.044    0.000    0.799    0.000 MCTSv2.py:127(next)
     7893    0.034    0.000    0.044    0.000 MCTSv2.py:161(legalActions)
     7792    0.008    0.000    0.073    0.000 MCTSv2.py:184(randomAction)
     2100    0.003    0.000    0.005    0.000 MCTSv2.py:194(getReward)
     1202    0.000    0.000    0.000    0.000 MCTSv2.py:203(isLose)
        1    0.001    0.001    0.952    0.952 MCTSv2.py:216(mcts_action)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:217(Node)
     2201    0.002    0.000    0.029    0.000 MCTSv2.py:218(__init__)
      677    0.002    0.000    0.002    0.000 MCTSv2.py:226(updateUcbtables)
 1202/525    0.002    0.000    0.871    0.002 MCTSv2.py:232(evaluate)
       25    0.005    0.000    0.678    0.027 MCTSv2.py:261(expand)
       25    0.000    0.000    0.001    0.000 MCTSv2.py:270(<listcomp>)
      100    0.000    0.000    0.000    0.000 MCTSv2.py:285(<listcomp>)
      677    0.005    0.000    0.009    0.000 MCTSv2.py:288(next_child_node)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:318(<listcomp>)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:334(reloadPreActions)
        1    0.009    0.009    0.961    0.961 MCTSv2.py:352(agent)
    16438    0.003    0.000    0.003    0.000 MCTSv2.py:36(get1vec)
        8    0.000    0.000    0.000    0.000 MCTSv2.py:39(get2vec)
        1    0.000    0.000    1.116    1.116 MCTSv2.py:4(<module>)
    47394    0.010    0.000    0.010    0.000 MCTSv2.py:43(getLegalPos)
     7739    0.002    0.000    0.002    0.000 MCTSv2.py:46(oppositeAction)
 2473/525    0.009    0.000    0.259    0.000 MCTSv2.py:57(playout)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:69(State)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:70(__init__)
        1    0.000    0.000    0.000    0.000 MCTSv2.py:78(<listcomp>)
     4148    0.002    0.000    0.002    0.000 MCTSv2.py:93(checkSegment)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       12    0.001    0.000    0.295    0.025 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
